[2024-12-18 04:01:42 +0700] [29054] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:01:42 +0700] [29054] [INFO] Listening at: http://0.0.0.0:8000 (29054)
[2024-12-18 04:01:42 +0700] [29054] [INFO] Using worker: sync
[2024-12-18 04:01:42 +0700] [29057] [INFO] Booting worker with pid: 29057
[2024-12-18 04:01:42 +0700] [29058] [INFO] Booting worker with pid: 29058
[2024-12-18 04:01:42 +0700] [29059] [INFO] Booting worker with pid: 29059
[2024-12-18 04:02:40 +0700] [29748] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:02:40 +0700] [29748] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:40 +0700] [29748] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:41 +0700] [29748] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:41 +0700] [29748] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:42 +0700] [29748] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:42 +0700] [29748] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:43 +0700] [29748] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:43 +0700] [29748] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:44 +0700] [29748] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:44 +0700] [29748] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:45 +0700] [29748] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:02:45 +0700] [29869] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:02:45 +0700] [29869] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:45 +0700] [29869] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:46 +0700] [29869] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:46 +0700] [29869] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:47 +0700] [29869] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:47 +0700] [29869] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:48 +0700] [29869] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:48 +0700] [29869] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:49 +0700] [29869] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:49 +0700] [29869] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:50 +0700] [29869] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:02:51 +0700] [29933] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:02:51 +0700] [29933] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:51 +0700] [29933] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:52 +0700] [29933] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:52 +0700] [29933] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:53 +0700] [29933] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:53 +0700] [29933] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:54 +0700] [29933] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:54 +0700] [29933] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:55 +0700] [29933] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:55 +0700] [29933] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:56 +0700] [29933] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:02:57 +0700] [29940] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:02:57 +0700] [29940] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:57 +0700] [29940] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:58 +0700] [29940] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:58 +0700] [29940] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:02:59 +0700] [29940] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:02:59 +0700] [29940] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:00 +0700] [29940] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:00 +0700] [29940] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:03:01 +0700] [29940] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:03:01 +0700] [29940] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
